Date,train_orig_unscaled,train_pred_unscaled,validation_orig_unscaled,validation_pred_unscaled
2009-01-16,29.8,27.67743,,
2009-01-17,28.6,32.312027,,
2009-01-18,32.7,31.07635,,
2009-01-19,39.0,34.875427,,
2009-01-20,42.3,38.61094,,
2009-01-21,36.7,40.4186,,
2009-01-22,38.3,34.90818,,
2009-01-23,36.4,38.91532,,
2009-01-24,30.3,35.80376,,
2009-01-25,34.7,30.750326,,
2009-01-26,38.0,36.574036,,
2009-01-27,41.5,38.395905,,
2009-01-28,43.7,40.461033,,
2009-01-29,42.800000000000004,41.45441,,
2009-01-30,43.3,39.975212,,
2009-01-31,44.1,41.415775,,
2009-02-01,42.9,41.918156,,
2009-02-02,42.6,40.510647,,
2009-02-03,40.099999999999994,41.230347,,
2009-02-04,40.89999999999999,38.400833,,
2009-02-05,41.1,41.152252,,
2009-02-06,43.1,40.225956,,
2009-02-07,46.7,42.605114,,
2009-02-08,34.6,44.951134,,
2009-02-09,26.6,28.93327,,
2009-02-10,24.499999999999996,27.470835,,
2009-02-11,24.6,27.523851,,
2009-02-12,27.3,27.701324,,
2009-02-13,26.9,30.47416,,
2009-02-14,30.3,29.723495,,
2009-02-15,31.1,33.23515,,
2009-02-16,32.4,33.354275,,
2009-02-17,33.2,34.299744,,
2009-02-18,32.6,34.6523,,
2009-02-19,36.2,33.656574,,
2009-02-20,30.2,37.016262,,
2009-02-21,28.8,29.479189,,
2009-02-22,30.9,30.553806,,
2009-02-23,36.4,32.951412,,
2009-02-24,28.6,36.343754,,
2009-02-25,30.600000000000005,28.167782,,
2009-02-26,34.0,32.633614,,
2009-02-27,39.5,35.363327,,
2009-02-28,30.3,38.317707,,
2009-03-01,26.4,29.025782,,
2009-03-02,28.1,28.642393,,
2009-03-03,37.6,31.143818,,
2009-03-04,23.4,36.002125,,
2009-03-05,24.6,23.925282,,
2009-03-06,25.2,27.87437,,
2009-03-07,27.5,28.518911,,
2009-03-08,28.7,30.093534,,
2009-03-09,32.0,30.834602,,
2009-03-10,22.4,33.52272,,
2009-03-11,29.4,23.976091,,
2009-03-12,26.2,29.663317,,
2009-03-13,30.3,27.71682,,
2009-03-14,27.6,31.58309,,
2009-03-15,21.400000000000002,28.326555,,
2009-03-16,21.7,23.626772,,
2009-03-17,23.1,24.673725,,
2009-03-18,28.300000000000004,25.80819,,
2009-03-19,34.3,29.404716,,
2009-03-20,33.9,32.452507,,
2009-03-21,37.70000000000001,32.793015,,
2009-03-22,28.6,35.325886,,
2009-03-23,27.0,27.817759,,
2009-03-24,28.6,29.169855,,
2009-03-25,33.0,30.914703,,
2009-03-26,28.4,34.11024,,
2009-03-27,26.3,28.648672,,
2009-03-28,28.8,28.431479,,
2009-03-29,31.5,31.170645,,
2009-03-30,31.799999999999997,32.880997,,
2009-03-31,32.1,32.56803,,
2009-04-01,32.0,33.163136,,
