Date,train_orig_unscaled,train_pred_unscaled,validation_orig_unscaled,validation_pred_unscaled
2009-01-16,29.8,27.93927,,
2009-01-17,28.6,29.22537,,
2009-01-18,32.7,28.526165,,
2009-01-19,39.0,31.566113,,
2009-01-20,42.3,35.916992,,
2009-01-21,36.7,37.60594,,
2009-01-22,38.3,32.86871,,
2009-01-23,36.4,34.810593,,
2009-01-24,30.3,33.32086,,
2009-01-25,34.7,28.686562,,
2009-01-26,38.0,33.115814,,
2009-01-27,41.5,35.049133,,
2009-01-28,43.7,37.195755,,
2009-01-29,42.800000000000004,38.455734,,
2009-01-30,43.3,37.388443,,
2009-01-31,44.1,38.019505,,
2009-02-01,42.9,38.663174,,
2009-02-02,42.6,37.263016,,
2009-02-03,40.099999999999994,37.13653,,
2009-02-04,40.89999999999999,35.09959,,
2009-02-05,41.1,36.538387,,
2009-02-06,43.1,36.414886,,
2009-02-07,46.7,38.096924,,
2009-02-08,34.6,40.68304,,
2009-02-09,26.6,28.515106,,
2009-02-10,24.499999999999996,24.470694,,
2009-02-11,24.6,24.410706,,
2009-02-12,27.3,24.583588,,
2009-02-13,26.9,26.699379,,
2009-02-14,30.3,25.56647,,
2009-02-15,31.1,28.849573,,
2009-02-16,32.4,29.065079,,
2009-02-17,33.2,30.229134,,
2009-02-18,32.6,30.885077,,
2009-02-19,36.2,30.373507,,
2009-02-20,30.2,33.412643,,
2009-02-21,28.8,28.039608,,
2009-02-22,30.9,27.63274,,
2009-02-23,36.4,29.189484,,
2009-02-24,28.6,33.055412,,
2009-02-25,30.600000000000005,27.600307,,
2009-02-26,34.0,29.353668,,
2009-02-27,39.5,31.996368,,
2009-02-28,30.3,35.88806,,
2009-03-01,26.4,28.426394,,
2009-03-02,28.1,26.428188,,
2009-03-03,37.6,28.112553,,
2009-03-04,23.4,35.32828,,
2009-03-05,24.6,23.592619,,
2009-03-06,25.2,25.460827,,
2009-03-07,27.5,26.08016,,
2009-03-08,28.7,27.561392,,
2009-03-09,32.0,28.130516,,
2009-03-10,22.4,30.315632,,
2009-03-11,29.4,23.306284,,
2009-03-12,26.2,28.50184,,
2009-03-13,30.3,25.931183,,
2009-03-14,27.6,28.64746,,
2009-03-15,21.400000000000002,26.3689,,
2009-03-16,21.7,22.206184,,
2009-03-17,23.1,22.417297,,
2009-03-18,28.300000000000004,23.36218,,
2009-03-19,34.3,26.361149,,
2009-03-20,33.9,30.364828,,
2009-03-21,37.70000000000001,30.109987,,
2009-03-22,28.6,32.822437,,
2009-03-23,27.0,26.674906,,
2009-03-24,28.6,25.97577,,
2009-03-25,33.0,27.152897,,
2009-03-26,28.4,30.207615,,
2009-03-27,26.3,26.78079,,
2009-03-28,28.8,25.668594,,
2009-03-29,31.5,27.795216,,
2009-03-30,31.799999999999997,29.68175,,
2009-03-31,32.1,29.906242,,
2009-04-01,32.0,30.131016,,
2009-04-02,33.2,30.034662,,
2009-04-03,24.099999999999998,30.91529,,
2009-04-04,21.7,24.380009,,
2009-04-05,23.5,23.24496,,
2009-04-06,19.7,24.381441,,
2009-04-07,22.1,21.773237,,
2009-04-08,23.1,23.303318,,
2009-04-09,26.5,23.843357,,
2009-04-10,25.2,25.876867,,
2009-04-11,26.7,24.973347,,
2009-04-12,27.9,25.867653,,
2009-04-13,28.9,26.458597,,
2009-04-14,30.5,26.845276,,
2009-04-15,21.9,27.615713,,
2009-04-16,21.7,22.018396,,
2009-04-17,24.099999999999998,21.649754,,
2009-04-18,23.2,22.806412,,
2009-04-19,24.499999999999996,22.431263,,
2009-04-20,26.1,23.22926,,
2009-04-21,24.899999999999995,24.301697,,
2009-04-22,26.000000000000004,23.82691,,
2009-04-23,26.9,24.626545,,
2009-04-24,17.9,25.282526,,
2009-04-25,21.000000000000004,19.899101,,
2009-04-26,15.599999999999998,21.282059,,
2009-04-27,18.9,18.04967,,
2009-04-28,15.2,19.464495,,
2009-04-29,16.4,17.310993,,
2009-04-30,18.5,17.548353,,
2009-05-01,21.799999999999997,18.541908,,
2009-05-02,18.8,20.351484,,
2009-05-03,19.5,18.992891,,
2009-05-04,18.8,19.10407,,
2009-05-05,19.1,18.59402,,
2009-05-06,18.7,18.432335,,
2009-05-07,17.7,18.082415,,
2009-05-08,18.3,17.400063,,
2009-05-09,18.0,17.342714,,
2009-05-10,20.1,17.239054,,
2009-05-11,21.7,18.048616,,
