Date,train_orig_unscaled,train_pred_unscaled,validation_orig_unscaled,validation_pred_unscaled
2009-01-16,29.8,33.02284,,
2009-01-17,28.6,32.631332,,
2009-01-18,32.7,34.931366,,
2009-01-19,39.0,38.115166,,
2009-01-20,42.3,41.078503,,
2009-01-21,36.7,36.927406,,
2009-01-22,38.3,37.082783,,
2009-01-23,36.4,30.950731,,
2009-01-24,30.3,35.731476,,
2009-01-25,34.7,31.583014,,
2009-01-26,38.0,40.47634,,
2009-01-27,41.5,42.235126,,
2009-01-28,43.7,45.362747,,
2009-01-29,42.800000000000004,41.595978,,
2009-01-30,43.3,44.840015,,
2009-01-31,44.1,44.5906,,
2009-02-01,42.9,44.525948,,
2009-02-02,42.6,44.069637,,
2009-02-03,40.099999999999994,42.837723,,
2009-02-04,40.89999999999999,44.46937,,
2009-02-05,41.1,42.141376,,
2009-02-06,43.1,41.253036,,
2009-02-07,46.7,44.07659,,
2009-02-08,34.6,34.85393,,
2009-02-09,26.6,33.16691,,
2009-02-10,24.499999999999996,28.672422,,
2009-02-11,24.6,28.319408,,
2009-02-12,27.3,27.061663,,
2009-02-13,26.9,28.93277,,
2009-02-14,30.3,31.011578,,
2009-02-15,31.1,33.70167,,
2009-02-16,32.4,32.795826,,
2009-02-17,33.2,35.428223,,
2009-02-18,32.6,36.851307,,
2009-02-19,36.2,35.485737,,
2009-02-20,30.2,33.41286,,
2009-02-21,28.8,31.144129,,
2009-02-22,30.9,30.457144,,
2009-02-23,36.4,34.198597,,
2009-02-24,28.6,30.506279,,
2009-02-25,30.600000000000005,31.955967,,
2009-02-26,34.0,33.459866,,
2009-02-27,39.5,36.087177,,
2009-02-28,30.3,34.19579,,
2009-03-01,26.4,31.665905,,
2009-03-02,28.1,30.42258,,
2009-03-03,37.6,30.518879,,
2009-03-04,23.4,26.535242,,
2009-03-05,24.6,23.77847,,
2009-03-06,25.2,24.65627,,
2009-03-07,27.5,29.208961,,
2009-03-08,28.7,32.314453,,
2009-03-09,32.0,32.673134,,
2009-03-10,22.4,35.270496,,
2009-03-11,29.4,25.916243,,
2009-03-12,26.2,28.038864,,
2009-03-13,30.3,27.735977,,
2009-03-14,27.6,28.546728,,
2009-03-15,21.400000000000002,22.088312,,
2009-03-16,21.7,22.17754,,
2009-03-17,23.1,23.665298,,
2009-03-18,28.300000000000004,26.679445,,
2009-03-19,34.3,29.824078,,
2009-03-20,33.9,32.059887,,
2009-03-21,37.70000000000001,31.50793,,
2009-03-22,28.6,29.69721,,
2009-03-23,27.0,29.52324,,
2009-03-24,28.6,29.584032,,
2009-03-25,33.0,31.37145,,
2009-03-26,28.4,30.444529,,
2009-03-27,26.3,28.19922,,
2009-03-28,28.8,28.625294,,
2009-03-29,31.5,32.994526,,
2009-03-30,31.799999999999997,33.74005,,
2009-03-31,32.1,33.42271,,
2009-04-01,32.0,33.743774,,
2009-04-02,33.2,33.07566,,
2009-04-03,24.099999999999998,33.879044,,
2009-04-04,21.7,24.77202,,
2009-04-05,23.5,23.723349,,
2009-04-06,19.7,23.477718,,
2009-04-07,22.1,22.916874,,
2009-04-08,23.1,23.513256,,
2009-04-09,26.5,25.776445,,
2009-04-10,25.2,29.348738,,
2009-04-11,26.7,27.675282,,
2009-04-12,27.9,29.861156,,
2009-04-13,28.9,30.862007,,
2009-04-14,30.5,32.171734,,
2009-04-15,21.9,26.624203,,
2009-04-16,21.7,22.606022,,
2009-04-17,24.099999999999998,22.964035,,
2009-04-18,23.2,25.518272,,
2009-04-19,24.499999999999996,25.8944,,
2009-04-20,26.1,26.423399,,
2009-04-21,24.899999999999995,27.492544,,
2009-04-22,26.000000000000004,26.202082,,
2009-04-23,26.9,28.062017,,
2009-04-24,17.9,22.22005,,
2009-04-25,21.000000000000004,20.069475,,
2009-04-26,15.599999999999998,18.414017,,
2009-04-27,18.9,18.576233,,
2009-04-28,15.2,17.63831,,
2009-04-29,16.4,19.166271,,
2009-04-30,18.5,19.764168,,
2009-05-01,21.799999999999997,21.096853,,
2009-05-02,18.8,20.006433,,
2009-05-03,19.5,19.824987,,
2009-05-04,18.8,21.279327,,
2009-05-05,19.1,20.43864,,
2009-05-06,18.7,19.78236,,
2009-05-07,17.7,19.889114,,
2009-05-08,18.3,19.296722,,
2009-05-09,18.0,19.560682,,
2009-05-10,20.1,18.579113,,
2009-05-11,21.7,19.926535,,
2009-05-12,19.5,21.02484,,
2009-05-13,19.7,19.664267,,
2009-05-14,19.1,19.124847,,
2009-05-15,20.8,19.436066,,
2009-05-16,19.5,19.082972,,
2009-05-17,18.5,18.982882,,
2009-05-18,18.3,20.21231,,
2009-05-19,21.9,19.775196,,
2009-05-20,19.4,19.597912,,
2009-05-21,23.0,20.281408,,
2009-05-22,22.7,23.016785,,
2009-05-23,20.600000000000005,23.0632,,
2009-05-24,22.8,21.65201,,
2009-05-25,19.8,19.279434,,
2009-05-26,17.2,18.38771,,
2009-05-27,17.1,18.905722,,
2009-05-28,13.9,18.305607,,
2009-05-29,14.4,17.49445,,
2009-05-30,17.6,17.391207,,
2009-05-31,14.5,19.014307,,
2009-06-01,14.2,15.253821,,
2009-06-02,16.0,16.777832,,
2009-06-03,16.1,17.884218,,
2009-06-04,17.2,17.757711,,
2009-06-05,17.7,18.407507,,
2009-06-06,16.3,16.1706,,
2009-06-07,15.4,16.733492,,
2009-06-08,15.1,16.724169,,
2009-06-09,14.6,15.830671,,
2009-06-10,12.2,15.519063,,
2009-06-11,12.9,15.19718,,
2009-06-12,11.6,15.602824,,
2009-06-13,17.0,15.50237,,
2009-06-14,17.0,16.643341,,
2009-06-15,14.3,16.296654,,
2009-06-16,15.899999999999999,15.68892,,
2009-06-17,15.7,17.127665,,
2009-06-18,16.6,17.278727,,
2009-06-19,17.2,18.578674,,
2009-06-20,16.1,19.709307,,
2009-06-21,19.5,19.06608,,
2009-06-22,20.1,20.13038,,
2009-06-23,18.1,20.42541,,
2009-06-24,14.4,20.000784,,
2009-06-25,14.8,18.001081,,
2009-06-26,11.8,14.711162,,
2009-06-27,12.6,16.034206,,
2009-06-28,17.7,17.196365,,
2009-06-29,20.5,16.83106,,
2009-06-30,23.2,17.90772,,
2009-07-01,17.0,17.49466,,
2009-07-02,15.1,15.061128,,
2009-07-03,15.2,15.131948,,
2009-07-04,16.0,14.627329,,
2009-07-05,13.9,14.99503,,
2009-07-06,12.1,14.966645,,
2009-07-07,13.599999999999998,15.025835,,
2009-07-08,16.2,15.745169,,
2009-07-09,18.5,18.106022,,
2009-07-10,17.6,19.309496,,
2009-07-11,14.9,17.599022,,
2009-07-12,17.2,19.32895,,
